train_id,route,distance_miles,weather_condition,cargo_weight_tons,scheduled_duration_hours,actual_duration_hours,crew_experience_years,locomotive_age_years,maintenance_score,delayed
TRAIN-0028,Chicago-Seattle,553,Clear,6343,80,83.00599564459483,20.0,17,65.14424677379108,1
TRAIN-0029,Texas-Portland,953,Snow,1931,44,39.714519164231575,23.0,10,61.68502934192201,0
TRAIN-0030,Chicago-Seattle,969,Rain,5628,89,94.8685202039801,1.0,8,66.0544591290347,1
TRAIN-0031,Chicago-Seattle,1835,Fog,3983,74,75.12466626206047,13.0,13,62.13801360416661,0
TRAIN-0032,Denver-LA,1798,Clear,3163,64,64.24206246193498,9.0,20,82.4175665724356,0
TRAIN-0033,Chicago-Seattle,1728,Rain,7986,81,92.10428829937912,4.0,6,91.66433262761103,1
TRAIN-0034,Denver-LA,1297,Fog,1297,33,32.946716668058485,24.0,20,70.27014959169247,0
TRAIN-0035,Chicago-Seattle,1546,Clear,7743,54,66.59175970259939,22.0,25,88.94407355930493,1
TRAIN-0036,Chicago-Seattle,1898,Clear,2247,48,45.9360901701432,10.0,19,68.80641214674569,0
TRAIN-0037,Chicago-Seattle,557,Rain,1574,47,51.02007254760129,7.0,14,98.21753027765874,1
TRAIN-0038,Texas-Portland,648,Snow,4550,93,100.15166777999951,11.0,28,92.35231870849137,1
TRAIN-0039,Denver-LA,1294,Rain,1581,75,77.46287956379695,24.0,28,82.49005600048503,1
TRAIN-0040,Denver-LA,761,Clear,2177,42,35.32061470133601,10.0,9,66.51765418540617,0
TRAIN-0041,Texas-Portland,972,Fog,2757,57,63.65779311098826,4.0,29,99.85073328237965,1
TRAIN-0042,Texas-Portland,645,Rain,7182,27,31.81225817633543,17.0,21,96.74291113397645,1
TRAIN-0043,Texas-Portland,1710,Clear,5330,86,89.89473458940296,23.0,21,83.60176134724308,1
TRAIN-0044,Denver-LA,996,Rain,4189,32,33.23446797147935,20.0,12,69.40340236559406,0
TRAIN-0045,Chicago-Seattle,661,Fog,1071,88,88.78025450632695,2.0,24,62.44000561462257,0
TRAIN-0046,Chicago-Seattle,1644,Snow,1039,77,77.64641718474131,9.0,15,81.30445332105126,0
TRAIN-0047,Texas-Portland,1354,Fog,3797,71,72.42733151071646,22.0,11,92.27940595165448,0
TRAIN-0048,Denver-LA,1963,Snow,2108,76,81.88130721872375,2.0,25,92.82789825822476,1
TRAIN-0049,Chicago-Seattle,884,Rain,5369,91,100.48268697755866,24.0,24,60.495581622353356,1
TRAIN-0050,Texas-Portland,1332,Rain,4845,71,72.96241386623605,15.0,8,95.79100447067856,0
TRAIN-0051,Texas-Portland,1210,Fog,1233,34,33.8086285845435,22.0,9,93.19164009818641,0
TRAIN-0052,Texas-Portland,1944,Clear,2258,38,37.36015820335939,1.0,21,79.02351461915241,0
TRAIN-0053,Texas-Portland,856,Snow,4300,50,60.96202520342627,9.0,28,74.76923938510484,1
TRAIN-0054,Denver-LA,1182,Fog,3017,86,88.55712832387323,7.0,9,71.57253913455529,1
TRAIN-0055,Texas-Portland,1971,Rain,3630,48,50.43441693897791,20.0,19,72.41607518056979,1
TRAIN-0056,Chicago-Seattle,1105,Snow,5756,90,99.9506028851836,3.0,9,67.93893571722423,1
TRAIN-0057,Denver-LA,1335,Clear,3693,88,87.80259788087886,20.0,28,77.49009036279705,0
TRAIN-0058,Chicago-Seattle,1144,Clear,1167,75,65.63703038839574,24.0,16,96.17568944907987,0
TRAIN-0059,Texas-Portland,1028,Snow,5293,31,36.729128150353304,6.0,12,72.88201044070996,1
TRAIN-0060,Chicago-Seattle,1547,Snow,3728,75,83.01292143762723,17.0,18,65.44020990207906,1
TRAIN-0061,Texas-Portland,1652,Rain,3917,47,41.639112910482716,10.0,1,99.85368948979716,0
TRAIN-0062,Denver-LA,1918,Fog,1902,84,77.60630363651987,17.0,15,89.62119408022939,0
TRAIN-0063,Texas-Portland,1120,Fog,5698,81,89.59850618430757,14.0,15,75.85865077305631,1
TRAIN-0064,Chicago-Seattle,1305,Rain,2970,86,84.00252479635324,5.0,5,76.09503209751236,0
TRAIN-0065,Texas-Portland,1498,Clear,7266,42,53.21622534057586,10.0,15,96.09202550514644,1
TRAIN-0066,Texas-Portland,811,Snow,2144,25,23.517434170350132,24.0,3,91.5733873925357,0
TRAIN-0067,Chicago-Seattle,1107,Fog,3778,24,27.807947203628647,13.0,6,87.0928706038118,1
TRAIN-0068,Texas-Portland,1910,Snow,5185,74,87.91873006678617,23.0,21,64.33172599708065,1
TRAIN-0069,Denver-LA,1159,Rain,5869,79,88.63895123396601,5.0,8,82.6026833041337,1
TRAIN-0070,Texas-Portland,877,Clear,6563,94,101.37936931145758,6.0,15,,1
TRAIN-0071,Denver-LA,989,Snow,5421,60,69.96512772606008,6.0,14,74.56240278265912,1
TRAIN-0072,Denver-LA,719,Snow,6014,68,75.49457593326173,,6,91.03322281990766,1
TRAIN-0073,Texas-Portland,1978,Fog,3562,89,95.99677083460874,4.0,24,83.09642724268784,1
TRAIN-0074,Chicago-Seattle,941,Snow,4416,40,46.45249602710863,16.0,15,94.83685930599026,1
TRAIN-0075,Chicago-Seattle,1967,Snow,1364,35,32.55943314993799,7.0,14,61.74952630034558,0
TRAIN-0076,Denver-LA,969,Rain,3018,71,70.77803350944347,23.0,17,87.67432230238288,0
TRAIN-0077,Chicago-Seattle,1952,Clear,1617,88,84.45809443434221,10.0,19,72.92093162682579,0
TRAIN-0078,Texas-Portland,1655,Fog,4983,74,79.95456039917975,16.0,29,62.23661962169123,1
TRAIN-0079,Denver-LA,1380,Snow,2727,81,82.09748565750904,7.0,13,64.48473178076068,0
TRAIN-0080,Denver-LA,1231,Fog,4103,69,73.03883911804084,16.0,4,83.1935608258047,1
TRAIN-0081,Chicago-Seattle,1312,Fog,4438,53,57.834359279904625,13.0,8,87.81208496137789,1
TRAIN-0082,Denver-LA,1486,Rain,6966,90,97.61011100417414,17.0,18,86.69980677109058,1
TRAIN-0083,Denver-LA,1284,Snow,3041,77,82.32312838574603,8.0,16,79.56310716711519,1
TRAIN-0084,Chicago-Seattle,1339,Snow,2690,95,97.01227475393782,13.0,19,69.27654686423332,1
TRAIN-0085,Chicago-Seattle,869,Rain,1760,61,57.78550366912425,6.0,20,63.64027813856198,0
TRAIN-0086,Denver-LA,1514,Rain,6690,81,95.04735981796395,19.0,7,80.69268241386429,1
TRAIN-0087,Texas-Portland,750,Clear,6531,52,54.91664832142951,11.0,8,81.16132957499482,1
TRAIN-0088,Denver-LA,661,Fog,4050,49,59.807728711208085,11.0,23,61.53555866995482,1
TRAIN-0089,Denver-LA,1162,Rain,2631,61,62.8154336148286,18.0,25,84.95399063296978,0
TRAIN-0090,Denver-LA,912,Rain,3448,79,80.88950862016641,8.0,16,83.34491582700346,0
TRAIN-0091,Texas-Portland,1992,Snow,3726,83,90.77956737647945,7.0,19,92.68281445737986,1
TRAIN-0092,Chicago-Seattle,946,Clear,3094,56,58.46776182211762,22.0,21,84.11603823974045,1
TRAIN-0093,Texas-Portland,1092,Snow,4756,81,86.9032800425004,16.0,7,89.80303155438102,1
TRAIN-0094,Texas-Portland,1838,Snow,1059,68,64.79457527121704,1.0,16,96.77847728072757,0
TRAIN-0095,Denver-LA,682,Snow,7041,41,56.189459214357484,1.0,23,84.8035572779958,1
TRAIN-0096,Texas-Portland,1332,Rain,5186,80,90.00410359901153,18.0,22,82.74568220271689,1
TRAIN-0097,Texas-Portland,821,Fog,5868,39,46.6587720364616,12.0,24,66.49411524172282,1
TRAIN-0098,Denver-LA,1492,Snow,4455,84,90.47586877256356,23.0,15,61.46322468229301,1
TRAIN-0099,Texas-Portland,682,Clear,2372,73,68.64853215976787,,6,86.12541458611412,0
TRAIN-0100,Chicago-Seattle,1443,Clear,3505,53,49.38146986163262,12.0,2,77.50841464839928,0
TRAIN-0101,Texas-Portland,1658,Snow,3196,91,89.5475374115857,3.0,8,79.84915388705369,0
TRAIN-0102,Texas-Portland,1249,Rain,4174,33,37.87367722116739,12.0,14,76.37083857697627,1
TRAIN-0103,Denver-LA,1062,Fog,5123,60,65.883344082637,20.0,27,92.8964437436213,1
TRAIN-0104,Denver-LA,1455,Clear,4779,64,64.75480371952776,21.0,13,64.74813030046086,0
TRAIN-0105,Texas-Portland,1617,Rain,2107,93,91.51893841124038,22.0,29,94.70321767818392,0
TRAIN-0106,Texas-Portland,691,Rain,7914,66,77.38389414387477,20.0,18,86.48918510006267,1
TRAIN-0107,Chicago-Seattle,1237,Clear,3513,30,27.532797016997065,11.0,14,61.466425562666615,0
TRAIN-0108,Denver-LA,1121,Snow,1088,52,58.383736924996214,18.0,27,,1
TRAIN-0109,Denver-LA,812,Snow,2919,30,39.365364641119925,6.0,9,76.82410875485913,1
TRAIN-0110,Chicago-Seattle,1774,Rain,2482,93,90.3799558009156,19.0,17,77.54547805280204,0
TRAIN-0111,Denver-LA,1517,Fog,1247,79,81.57995254810247,19.0,18,65.96297651195036,1
TRAIN-0112,Chicago-Seattle,775,Clear,7066,64,67.61967262626858,20.0,20,69.26593117051837,1
TRAIN-0113,Denver-LA,889,Rain,5505,41,48.781392381488146,17.0,6,89.39010641375634,1
TRAIN-0114,Texas-Portland,1403,Snow,4023,88,98.17263738230598,20.0,22,61.998157769346975,1
TRAIN-0115,Texas-Portland,1562,Rain,4399,63,62.974000148772255,7.0,7,60.27744764521386,0
TRAIN-0116,Chicago-Seattle,1583,Snow,6763,61,71.1773294167464,5.0,6,99.32259269992889,1
TRAIN-0117,Denver-LA,1538,Snow,4088,41,49.742941672000114,11.0,15,78.78091983635991,1
TRAIN-0118,Denver-LA,1634,Rain,7348,57,66.23449984677355,15.0,12,71.26220596628549,1
TRAIN-0119,Denver-LA,1383,Clear,6268,26,30.894371543278602,18.0,14,64.89985698059094,1
TRAIN-0120,Chicago-Seattle,1918,Fog,6430,90,102.00477004070403,9.0,20,75.0509300894783,1
TRAIN-0121,Denver-LA,1490,Fog,2840,54,56.95966157844852,10.0,10,69.86876926153,1
TRAIN-0122,Denver-LA,1826,Clear,6504,91,94.86695380331176,12.0,14,65.87550458695485,1
TRAIN-0123,Chicago-Seattle,1090,Fog,5059,42,44.21553934967609,14.0,11,86.10564266254947,1
TRAIN-0124,Texas-Portland,1076,Clear,3557,68,71.12626114467629,20.0,25,65.31670275337434,1
TRAIN-0125,Denver-LA,1281,Snow,5188,65,71.37646215464034,22.0,12,93.92552986351998,1
TRAIN-0126,Texas-Portland,1385,Rain,1470,74,70.2548607841095,19.0,7,93.86390150543707,0
TRAIN-0127,Chicago-Seattle,866,Clear,7429,41,48.24970523732401,2.0,17,86.26596278858142,1
TRAIN-0128,Denver-LA,1420,Snow,7792,60,72.0025237493775,12.0,7,90.21210184307853,1
TRAIN-0129,Chicago-Seattle,1189,Clear,1710,47,41.74445064507249,24.0,4,97.57031155836364,0
TRAIN-0130,Texas-Portland,1305,Rain,5439,84,92.0594367231677,17.0,12,86.46995459330121,1
TRAIN-0131,Chicago-Seattle,1631,Snow,1593,84,90.24447235487695,8.0,16,97.6628639662867,1
TRAIN-0132,Chicago-Seattle,1245,Fog,5146,42,53.292589717542725,5.0,12,85.18075677260109,1
TRAIN-0133,Texas-Portland,1488,Fog,3971,80,83.08619625567218,5.0,10,99.78425925840871,1
TRAIN-0134,Chicago-Seattle,959,Fog,4035,88,95.84609330806641,4.0,17,80.55338720904285,1
TRAIN-0135,Texas-Portland,889,Snow,1821,91,95.8468833802927,8.0,28,60.82354314595061,1
TRAIN-0136,Denver-LA,634,Fog,6617,45,55.335912441811004,20.0,8,78.8426327642628,1
TRAIN-0137,Chicago-Seattle,1747,Rain,4674,24,31.08108096529441,22.0,27,68.40121269719013,1
TRAIN-0138,Chicago-Seattle,1391,Fog,7595,46,56.59132795200258,13.0,16,,1
TRAIN-0139,Chicago-Seattle,1538,Fog,7109,63,74.01344810863472,7.0,8,82.28309518277186,1
TRAIN-0140,Chicago-Seattle,1046,Clear,1086,32,26.425434094030386,5.0,16,84.27890954728528,0
TRAIN-0141,Chicago-Seattle,1411,Snow,3540,94,97.20575313731895,19.0,2,74.56101510773107,1
TRAIN-0142,Chicago-Seattle,828,Clear,6979,86,95.36537535868321,16.0,25,75.8083437895599,1
TRAIN-0143,Denver-LA,1919,Rain,2783,92,88.33836762190255,7.0,8,,0
TRAIN-0144,Chicago-Seattle,1025,Clear,7255,47,55.25096745722572,13.0,3,94.68847178934871,1
TRAIN-0145,Chicago-Seattle,1227,Clear,6231,64,71.95547396236374,,24,98.03907482291974,1
TRAIN-0146,Chicago-Seattle,932,Snow,1035,61,59.88373734483495,12.0,12,,0
TRAIN-0147,Texas-Portland,1031,Clear,2646,71,70.54754404156414,11.0,24,67.22363827887602,0
TRAIN-0148,Texas-Portland,1508,Snow,2667,94,97.41864268537384,17.0,3,65.9212689036471,1
TRAIN-0149,Denver-LA,853,Fog,3461,41,39.56010899379758,24.0,7,65.31995420284959,0
TRAIN-0150,Denver-LA,1407,Clear,2290,29,29.337554138775754,16.0,20,93.65665660032425,0
TRAIN-0151,Chicago-Seattle,885,Fog,5580,45,54.771940537233135,5.0,14,89.29291446886734,1
TRAIN-0152,Texas-Portland,1151,Snow,4937,30,37.08760126022753,14.0,14,65.43093230996516,1
TRAIN-0153,Texas-Portland,710,Rain,6145,56,62.9906999657172,19.0,15,75.63338749909578,1
TRAIN-0154,Denver-LA,1453,Rain,3554,56,54.54463701929315,22.0,10,60.52260634944312,0
TRAIN-0155,Texas-Portland,1678,Fog,2280,24,23.668249758558456,6.0,26,70.906516002758,0
TRAIN-0156,Texas-Portland,675,Clear,2501,48,45.63074008133305,20.0,22,72.48792808940738,0
TRAIN-0157,Chicago-Seattle,1159,Fog,7605,65,78.99327382759212,12.0,16,60.8178044090265,1
TRAIN-0158,Texas-Portland,1878,Clear,2066,30,29.57321691555606,9.0,7,90.897050570643,0
TRAIN-0159,Chicago-Seattle,580,Snow,1958,53,53.22933945849222,23.0,6,74.98615582008492,0
TRAIN-0160,Chicago-Seattle,1963,Fog,2903,94,96.8601274491328,12.0,10,,1
TRAIN-0161,Denver-LA,1164,Fog,6950,51,67.58566257057366,13.0,28,85.10378812158248,1
TRAIN-0162,Texas-Portland,1735,Snow,3413,30,33.051897896942044,4.0,22,77.34867829189048,1
TRAIN-0163,Denver-LA,525,Rain,5935,91,95.55954971754079,24.0,23,65.5458498108207,1
TRAIN-0164,Denver-LA,1055,Snow,6327,80,93.1844998434531,15.0,11,78.06486072897432,1
TRAIN-0165,Chicago-Seattle,1562,Clear,5041,42,41.40090091843518,4.0,19,74.4259040967628,0
TRAIN-0166,Denver-LA,1292,Rain,5378,38,38.45059764224359,20.0,7,84.20393730795904,0
TRAIN-0167,Denver-LA,1658,Snow,4750,41,49.00098246854497,2.0,3,94.54298220434761,1
TRAIN-0168,Texas-Portland,1487,Clear,6280,38,39.42655647541281,7.0,8,92.56230432118319,0
TRAIN-0169,Chicago-Seattle,540,Snow,2955,32,37.836628233166216,1.0,27,70.25435603908096,1
TRAIN-0170,Denver-LA,1799,Rain,6694,75,83.97155650196723,1.0,19,86.89192003020358,1
TRAIN-0171,Denver-LA,1237,Rain,6863,67,73.5678533176253,24.0,9,69.12347473607113,1
TRAIN-0172,Chicago-Seattle,921,Fog,3137,58,61.31775973410374,1.0,28,77.19718192243788,1
TRAIN-0173,Texas-Portland,1854,Clear,7223,66,77.32682995295991,9.0,20,84.1461811322082,1
TRAIN-0174,Denver-LA,849,Rain,2536,45,48.6013759673832,5.0,20,74.53764211958867,1
TRAIN-0175,Denver-LA,1206,Rain,6648,26,35.78261638295714,10.0,24,74.8195125320091,1
TRAIN-0176,Texas-Portland,578,Clear,4450,32,34.76912565406722,4.0,13,95.80078201304111,1
TRAIN-0177,Denver-LA,1078,Snow,3414,94,99.08855364362859,2.0,21,77.78168433286899,1
TRAIN-0178,Texas-Portland,1854,Clear,2661,32,30.204300651497046,3.0,27,97.37461733802013,0
TRAIN-0179,Texas-Portland,1622,Rain,3881,70,74.82365947099329,2.0,28,60.86770956332207,1
TRAIN-0180,Texas-Portland,585,Clear,3607,52,51.2970330260241,3.0,11,89.80295494433486,0
TRAIN-0181,Denver-LA,1925,Snow,5476,87,96.63230084586658,6.0,21,94.61647615520388,1
TRAIN-0182,Denver-LA,928,Snow,4914,60,72.99423460117205,12.0,27,64.77715095401548,1
TRAIN-0183,Texas-Portland,1510,Fog,6211,46,49.076054007638014,18.0,1,81.94932072952462,1
TRAIN-0184,Texas-Portland,1329,Rain,4982,51,56.37252484267728,1.0,1,97.84787048769024,1
TRAIN-0185,Texas-Portland,1648,Rain,7186,77,94.01960071408902,23.0,25,84.18215404572823,1
TRAIN-0186,Denver-LA,1575,Rain,7317,66,79.79100122228924,13.0,27,,1
TRAIN-0187,Denver-LA,774,Snow,2390,53,54.608123295671646,,7,66.96829282673735,0
TRAIN-0188,Texas-Portland,1569,Snow,2467,53,53.65860344463549,18.0,16,83.01472047300473,0
TRAIN-0189,Texas-Portland,1563,Snow,1930,38,38.06804588681476,19.0,1,60.09386461540571,0
TRAIN-0190,Chicago-Seattle,1450,Fog,2550,54,55.4080330068452,9.0,17,98.07314261574048,0
TRAIN-0191,Chicago-Seattle,546,Clear,1878,52,48.35366934700826,18.0,5,75.6734021948882,0
TRAIN-0192,Texas-Portland,1716,Snow,3349,78,81.70614609196278,20.0,1,97.39639138318108,1
TRAIN-0193,Denver-LA,1523,Fog,1351,40,39.33019862888244,17.0,26,,0
TRAIN-0194,Texas-Portland,716,Rain,6332,28,38.81127089547857,5.0,22,61.71326569668799,1
TRAIN-0195,Texas-Portland,1148,Rain,3254,24,27.575032882457105,21.0,20,83.14440503889337,1
TRAIN-0196,Denver-LA,1453,Fog,3682,34,39.07593903926253,14.0,22,75.43036485192886,1
TRAIN-0197,Denver-LA,1922,Fog,6070,73,85.07138010536845,4.0,27,86.61061445420877,1
TRAIN-0198,Texas-Portland,1244,Clear,5015,55,56.91915862238724,19.0,1,73.04510755205072,0
TRAIN-0199,Texas-Portland,1630,Snow,7434,92,108.65749024463636,7.0,6,78.4725175282456,1
TRAIN-0200,Denver-LA,1061,Rain,5973,79,86.18862115068403,,22,,1
TRAIN-0201,Texas-Portland,707,Rain,5787,92,101.7644730184264,5.0,22,60.49457521509427,1
TRAIN-0202,Chicago-Seattle,1834,Clear,2819,50,55.009385309998855,24.0,27,,1
TRAIN-0203,Chicago-Seattle,1982,Snow,5798,84,100.28594214131957,19.0,22,88.40200684602112,1
TRAIN-0204,Chicago-Seattle,691,Fog,4989,49,57.544054159597344,10.0,12,90.09281522727231,1
TRAIN-0205,Chicago-Seattle,1307,Snow,4622,84,92.14364999099676,10.0,11,80.22893190257565,1
TRAIN-0206,Denver-LA,1822,Clear,6519,94,102.26961107608614,22.0,10,68.78856221244251,1
TRAIN-0207,Chicago-Seattle,1645,Rain,6345,65,76.41601267137662,24.0,4,63.96445626363508,1
TRAIN-0208,Chicago-Seattle,1242,Rain,1582,40,35.20810456484291,16.0,19,60.831524534652466,0
TRAIN-0209,Chicago-Seattle,694,Snow,4579,72,77.16359680430676,18.0,8,90.65802020097203,1
TRAIN-0210,Denver-LA,857,Snow,2981,38,39.874659174580444,11.0,19,71.94723431115197,0
TRAIN-0211,Texas-Portland,517,Rain,7040,88,98.72673163679349,2.0,7,79.17462973725935,1
TRAIN-0212,Denver-LA,667,Snow,6078,24,42.119123921470006,24.0,28,74.37268764495067,1
TRAIN-0213,Denver-LA,1227,Snow,3939,94,94.98829369730895,8.0,23,99.49236168742851,0
TRAIN-0214,Denver-LA,1665,Clear,7654,69,75.18121298032914,3.0,26,69.78189196206573,1
TRAIN-0215,Chicago-Seattle,1800,Rain,7810,92,104.36723185612965,1.0,5,68.52355353838833,1
TRAIN-0216,Denver-LA,1800,Clear,7494,95,98.59299447456397,18.0,21,75.71629894084369,1
TRAIN-0217,Chicago-Seattle,1406,Rain,5658,33,38.41508191606599,5.0,17,81.75406402991399,1
TRAIN-0218,Texas-Portland,1056,Snow,2386,43,49.284165751775255,6.0,15,62.39217062451374,1
TRAIN-0219,Texas-Portland,1942,Rain,3434,72,79.44237221779096,9.0,15,97.8645648849855,1
TRAIN-0220,Chicago-Seattle,919,Snow,7982,72,86.49013594927628,12.0,18,67.73233676916033,1
TRAIN-0221,Chicago-Seattle,1439,Clear,6188,94,101.8243053529619,12.0,23,,1
TRAIN-0222,Texas-Portland,1660,Fog,1400,56,53.07122458937678,13.0,25,69.54985165283631,0
TRAIN-0223,Denver-LA,501,Fog,6867,58,67.075588237601,7.0,13,97.59199310752777,1
TRAIN-0224,Denver-LA,1606,Fog,4520,27,33.56705926905339,12.0,19,92.52903229496728,1
TRAIN-0225,Denver-LA,917,Snow,4431,74,78.92233838607851,5.0,19,89.04781270465054,1
TRAIN-0226,Denver-LA,563,Snow,6389,85,93.9829185337036,17.0,9,78.69993990447628,1
TRAIN-0227,Denver-LA,1577,Snow,5205,85,92.02583902006435,20.0,29,70.55743750922403,1
TRAIN-0228,Texas-Portland,1734,Clear,3996,58,60.8178439957862,19.0,9,88.57267100564394,1
TRAIN-0229,Texas-Portland,1010,Fog,5863,46,56.13706160620654,13.0,14,68.71339430241775,1
TRAIN-0230,Denver-LA,1394,Snow,7783,93,103.75099390064415,19.0,9,,1
TRAIN-0231,Texas-Portland,620,Fog,5265,62,64.22918139668539,16.0,15,,1
TRAIN-0232,Chicago-Seattle,1732,Snow,7233,51,66.0174427028349,8.0,22,77.84383141690236,1
TRAIN-0233,Denver-LA,608,Fog,2309,48,51.74095496519303,21.0,16,97.16919255040781,1
TRAIN-0234,Chicago-Seattle,901,Clear,1570,33,26.9030949731499,9.0,15,91.71070561489006,0
TRAIN-0235,Denver-LA,984,Clear,2500,79,75.44568839703396,23.0,11,77.82860805709568,0
TRAIN-0236,Denver-LA,1614,Rain,4929,43,47.982622074390434,1.0,12,95.94772799456379,1
TRAIN-0237,Texas-Portland,1578,Clear,5069,28,35.00000588437519,17.0,28,63.14033695122147,1
TRAIN-0238,Denver-LA,841,Clear,7967,43,50.61477233498759,15.0,1,72.47954476794371,1
TRAIN-0239,Texas-Portland,1670,Snow,4308,35,40.80985258130628,3.0,1,72.7594520998708,1
TRAIN-0240,Chicago-Seattle,1851,Rain,2902,32,34.821955232362875,17.0,5,85.1291740042184,1
TRAIN-0241,Texas-Portland,1469,Rain,1666,71,69.50381818740682,14.0,5,86.25197917033107,0
TRAIN-0242,Denver-LA,867,Clear,4291,82,80.49244654223614,15.0,25,77.0360081139417,0
TRAIN-0243,Denver-LA,1328,Snow,1296,67,69.66261921354663,23.0,21,,1
TRAIN-0244,Chicago-Seattle,1757,Rain,6620,71,82.08361718090927,16.0,23,71.85926804555115,1
TRAIN-0245,Denver-LA,781,Fog,5475,46,60.06098953556709,20.0,26,84.70523499715736,1
TRAIN-0246,Chicago-Seattle,1053,Snow,5896,25,35.19864156221313,1.0,8,79.05978434967828,1
TRAIN-0247,Texas-Portland,1720,Clear,1131,87,86.64611457143342,7.0,7,63.6273570677792,0
TRAIN-0248,Chicago-Seattle,1338,Rain,2101,69,72.0424713505834,2.0,4,78.97090405309845,1
TRAIN-0249,Denver-LA,1137,Clear,6997,66,72.06858663962672,11.0,7,83.83720916900519,1
TRAIN-0250,Denver-LA,1624,Rain,5109,47,53.01049557329876,11.0,20,86.12628784680032,1
TRAIN-0251,Texas-Portland,1826,Clear,4326,59,67.9355848561563,14.0,15,77.67625110926573,1
TRAIN-0252,Chicago-Seattle,1674,Fog,7085,29,39.24689050762776,15.0,25,90.64996564075592,1
TRAIN-0253,Chicago-Seattle,877,Rain,5377,81,83.00501215746556,18.0,10,87.9927563113109,1
TRAIN-0254,Chicago-Seattle,1828,Fog,7864,88,100.28897281055974,18.0,3,97.03401011967804,1
TRAIN-0255,Denver-LA,985,Snow,6122,50,62.32015317777556,6.0,1,66.54818304963247,1
TRAIN-0256,Chicago-Seattle,871,Snow,2613,62,61.31763794943576,4.0,5,97.42233689368155,0
TRAIN-0257,Denver-LA,1814,Rain,7014,74,91.27232159956945,7.0,10,74.5341781616654,1
TRAIN-0258,Chicago-Seattle,999,Snow,5490,78,91.55109351609313,18.0,28,73.31316889075346,1
TRAIN-0259,Denver-LA,1537,Clear,7538,62,69.16394956685367,1.0,12,75.0141586905773,1
TRAIN-0260,Texas-Portland,1652,Fog,2504,44,44.48174816521113,14.0,14,65.53608129693147,0
TRAIN-0261,Texas-Portland,1515,Rain,2231,27,22.88542553305639,1.0,22,89.86407385547572,0
TRAIN-0262,Texas-Portland,1256,Clear,6302,80,91.69070352586746,7.0,8,90.28457543326554,1
TRAIN-0263,Chicago-Seattle,1445,Rain,1639,59,60.669628944115786,6.0,28,95.53203304092519,0
